"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 05 22:03:52 EAT 2026","Sun Apr 05 22:03:52 EAT 2026","1","tests","test_api","","","","test_not_found_returns_404",""
"passed","Sun Apr 05 22:03:47 EAT 2026","Sun Apr 05 22:03:47 EAT 2026","0","tests","test_api","","","","test_single_post_has_required_fields",""
"passed","Sun Apr 05 22:03:44 EAT 2026","Sun Apr 05 22:03:44 EAT 2026","0","tests","test_api","","","","test_get_posts_returns_200",""
"passed","Sun Apr 05 22:03:45 EAT 2026","Sun Apr 05 22:03:45 EAT 2026","1","tests","test_api","","","","test_get_posts_returns_100_items",""
"passed","Sun Apr 05 22:03:45 EAT 2026","Sun Apr 05 22:03:45 EAT 2026","0","tests","test_api","","","","test_get_posts_returns_list",""
"passed","Sun Apr 05 22:03:46 EAT 2026","Sun Apr 05 22:03:46 EAT 2026","1","tests","test_api","","","","test_get_posts_response_time","Response should come back in under 3 seconds."
"passed","Sun Apr 05 22:03:51 EAT 2026","Sun Apr 05 22:03:51 EAT 2026","0","tests","test_api","","","","test_create_post_returns_id","A newly created post should have an id assigned."
"passed","Sun Apr 05 22:03:52 EAT 2026","Sun Apr 05 22:03:53 EAT 2026","640","tests","test_api","","","","test_invalid_endpoint_returns_404",""
"passed","Sun Apr 05 22:03:50 EAT 2026","Sun Apr 05 22:03:50 EAT 2026","0","tests","test_api","","","","test_create_post_returns_201",""
"passed","Sun Apr 05 22:03:48 EAT 2026","Sun Apr 05 22:03:48 EAT 2026","0","tests","test_api","","","","test_single_post_correct_content_type",""
"passed","Sun Apr 05 22:03:48 EAT 2026","Sun Apr 05 22:03:48 EAT 2026","0","tests","test_api","","","","test_single_post_correct_id",""
"passed","Sun Apr 05 22:03:51 EAT 2026","Sun Apr 05 22:03:51 EAT 2026","0","tests","test_api","","","","test_create_post_returns_correct_title",""
